region,logM,logZ,flag
1,9.990031219343463,-0.5393355959380349,0
2,9.545063034813209,-0.8847674391890298,1
3,9.312115017675238,-0.6149770352437792,1
4,8.489891929767634,-1.2805327126489847,-1
5,9.504818274765483,-0.25000003748676997,-1
6,7.741843688916945,0.1511614584569369,-1
7,10.093054786916728,0.226222231012789,-1
8,9.142195423991986,-1.4675070624916082,-1
9,7.793802925295433,-0.609190295752044,-1
10,7.46587818408717,-0.49200698595061154,1
11,7.1955600923087095,-1.999999621597712,-1
12,6.557843287533618,0.24999997934166085,-1
13,6.587496340484889,-0.5156992030891122,0
14,9.205507505859716,-1.65954358178633,-1
15,8.280610110444336,-1.999999574651297,-1
16,8.161113224934434,-0.29141592921735604,0
17,8.31400826141479,-0.4432837448858959,1
18,6.578425624974475,-0.6038709115679861,-1
19,7.501229678170952,-1.4388607345273443,-1
20,8.072122348584744,-1.999999350048229,-1
21,7.734372511789536,-0.4429763068080037,-1
22,8.954043576155224,-1.004885963112608,0
23,7.842022528056231,-1.999999995364423,0
24,8.804658565433499,-0.7698926768939064,1
25,8.008241092664342,-1.9999998692332288,-1
26,7.6584941674518605,-0.27100750285471625,-1
27,8.450280944505051,-1.5088947604896383,-1
28,8.446563369461222,-1.999999907486724,0
29,8.657773461289782,-0.97155342018998,0
30,8.32870869674993,-1.263189329363267,1
31,8.06230325697085,-0.8966667598625626,1
32,7.328619726471975,-0.7329411475274946,0
33,7.812630305389887,-0.7124416481451834,-1
34,7.664351965752299,-0.500000013996072,-1
35,7.603903365226287,-0.3637277898409492,-1
36,7.026488397236226,-0.5984078027393409,0
37,7.807619953348937,-1.699018820703965,0
38,10.198613297338346,0.17650300717127712,0
39,9.510656094505476,-0.5694877337822665,1
40,9.542027448692671,-0.297297236361875,0
41,8.945651724366554,0.1741834297180733,0
42,8.164226894433007,-0.6835189260443317,0
43,10.182545648234624,-1.3483029044022081,-1
44,9.053008590006497,-1.7852148414228055,-1
45,8.435375674213955,-1.5663155240274513,0
46,7.854398382073764,-1.7986901784298397,0
47,8.504397752154107,-1.9999999986354804,-1
48,7.8341633591141555,-1.2242532751572512,-1
49,8.416025357377167,-1.5403376766376877,-1
50,8.797716694801027,-0.49999992047669045,0
51,8.863548361923355,-1.7727731703561904,0
52,8.779048877769615,-0.5000000226575383,-1
53,7.101247397434603,-1.2111489488711447,-1
54,8.067652380008283,-1.9999999317259243,-1
55,8.012398860341902,-0.8943227095966185,0
56,7.240220216734929,-0.35144214508524746,0
57,8.437441869123175,-1.6049983528666767,1
58,8.395298674562861,-0.8821248121979982,1
59,6.805450006424639,-1.0731017233707607,0
60,8.327245408281359,-1.0914448717449858,0
61,7.130313025127761,-1.9999999782395659,-1
62,7.771708384899976,-0.8334937460213867,-1
63,8.721812670284123,-1.4999996641686069,1
64,8.495851569220834,-0.890358347086717,1
65,8.034210450126567,-1.4772654563433636,0
66,8.491744080542546,-1.9999996938407714,0
67,7.381003427195585,-1.2658638184228193,0
68,7.350832225488903,-0.8344874470111578,0
69,6.9274693625833565,-1.999999871478354,-1
70,8.438845436718161,-0.9375774641189415,-1
71,8.735913585487026,-0.5746480966526586,0
72,8.463296169181758,-0.8236410655401112,1
73,7.818945791098441,-0.25000013194834425,0
74,7.841866425605234,-0.4228480302141896,1
75,7.7366560840546015,-0.7499646921052864,0
76,7.502464637494602,-0.8082366703883215,-1
77,7.874066063144841,-1.3666480414183926,0
78,10.07430530555832,-1.9999999379825721,-1
79,9.361940510658828,-0.5825393403921102,-1
80,9.227385836063014,-0.4496277034235365,-1
81,8.781857806924178,-0.4070781569338674,0
82,8.02274257961077,-1.999999964634295,-1
83,9.480105278775158,-0.003007208525450913,-1
84,7.816953684166993,-0.6356337004615702,-1
85,7.248522759735577,-1.9999999611781207,-1
86,8.774902118929413,-0.941391577943102,-1
87,7.049825149295038,-1.2371605441079059,-1
88,7.890192746635852,-0.9818466476446476,-1
89,8.407497228938505,-1.5213682406468199,-1
90,8.156704534706565,-1.7976020453832944,-1
91,8.746296103552277,-1.9999999785690639,-1
92,8.447494767180585,-1.999999823432299,-1
93,8.359487289776203,-1.9999999652662597,-1
94,7.84036634865196,-1.4929496475019537,-1
95,8.957890876034837,-1.9999999339664216,0
96,6.867992201400726,-1.9999999907870085,-1
97,9.085331033383188,-1.0025788210010442,0
98,7.8553117126442595,-1.9999997837900763,0
99,6.525080668570556,-0.8013775814544914,0
100,7.440656116433594,-1.3354098201148343,-1
101,6.645236361153263,-1.9999999659749823,-1
102,6.704760945648922,-1.1394373310366992,-1
103,8.005571829026795,-1.8352868835871137,-1
104,6.8626763423508885,-1.0308208831540342,-1
105,10.40016678699547,-0.6024144092911138,-1
106,9.858647197035445,-0.4304446346705905,1
107,9.894160063080793,-0.35095619176609477,-1
108,10.883762648255038,-1.999999605269034,-1
109,9.363359264635747,-1.115618415167383,0
110,8.81652451544577,-0.32342850143033053,0
111,8.05424968224385,-1.4390816864912206,-1
